% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
2859	1	1	1	0	28	2292	0	1	1
2861	1	1	1	0	28	2292	0	1	1
2864	1	1	1	0	28	2292	0	1	1
2866	1	1	1	0	28	2292	0	1	1
2868	1	1	1	0	28	2292	0	1	1
2871	1	1	1	0	28	2292	0	1	1
2873	1	1	1	0	28	2292	0	1	1
2875	1	1	1	0	28	2292	0	1	1
2876	1	1	1	0	28	2292	0	1	1
2878	1	1	1	0	28	2292	0	1	1
2880	1	1	1	0	28	2292	0	1	1
2882	1	1	1	0	28	2292	0	1	1
2886	1	1	1	0	28	2292	0	1	1
2887	1	1	1	0	28	2292	0	1	1
2889	1	1	1	0	28	2292	0	1	1
2892	1	1	1	0	28	2292	0	1	1
2894	1	1	1	0	28	2292	0	1	1
2896	1	1	1	0	28	2292	0	1	1
2898	1	1	1	0	28	2292	0	1	1
2900	1	1	1	0	28	2292	0	1	1
2903	1	1	1	0	28	2292	0	1	1
